dates,gwo1,gwo2,gwo_phase,gwo_amp
1958-03-02,-0.128,-0.948,1,0.956602320716399
1958-04-18,0.262,-1.03,8,1.06280007527286
1958-04-19,0.098,-1.592,8,1.59501347956687
1958-04-20,-0.144,-2.104,1,2.10892199950591
1958-04-21,-0.432,-2.384,1,2.42282479762776
1958-04-22,-0.738,-2.284,1,2.40027081805366
1958-04-23,-1.004,-1.872,1,2.12424104093674
1958-04-24,-1.21,-1.242,1,1.73397347153871
1958-04-25,-1.318,-0.538,2,1.42357577950736
1958-05-30,0.658,-0.802,8,1.03738517436871
1958-06-11,-0.018,-1.388,1,1.38811670979064
1958-06-12,-0.2,-1.608,1,1.62039007649393
1958-06-13,-0.43,-1.94,1,1.98708328964842
1958-06-14,-0.682,-1.872,1,1.99236241683083
1958-06-15,-0.896,-1.47,1,1.72154465524424
1958-06-16,-1.054,-1.012,2,1.46118445105332
1958-06-17,-1.148,-0.36,2,1.20312260389372
1959-03-18,-1.132,-1.046,2,1.54127868991951
1959-03-19,-1.244,-0.618,2,1.38905003509593
1959-03-20,-1.286,-0.086,2,1.28887237537314
1959-06-06,0.206,-1.08,8,1.09947078178549
1959-06-07,0.066,-1.022,8,1.02412889813734
1960-03-16,0.644,-0.804,8,1.03012232283356
1960-03-25,-0.054,-1.046,1,1.04739295395759
1960-03-26,-0.186,-1.014,1,1.03091803747922
1960-05-19,-0.952,-0.848,2,1.27491489912072
1960-05-20,-1.05,-0.634,2,1.22656267675158
1960-06-07,-0.758,-0.584,2,0.956880347796944
1960-06-09,-0.874,-0.394,2,0.958703290909132
1960-06-10,-0.922,-0.348,2,0.985488711249398
1960-06-11,-0.962,-0.344,2,1.02165551924315
1960-06-12,-1.008,-0.326,2,1.05940549366142
1960-06-13,-1.046,-0.328,2,1.09622078068243
1960-06-14,-1.1,-0.59,2,1.24823875921236
1960-06-15,-1.2,-0.888,2,1.49283086784806
1960-06-16,-1.326,-1.03,2,1.67904020202019
1960-06-17,-1.468,-1.292,2,1.95557868673188
1960-06-18,-1.658,-1.62,2,2.3180517681881
1960-06-19,-1.874,-1.664,2,2.50614684326358
1960-06-20,-2.074,-1.448,2,2.52946239347416
1960-06-21,-2.234,-0.988,2,2.44272388943163
1960-06-22,-2.318,-0.29,2,2.33607020442452
1961-03-22,-0.262,-0.918,1,0.954655958971608
1961-04-04,-1.412,-1.12,2,1.80226080243676
1961-04-05,-1.514,-0.44,2,1.57664073269721
1961-06-10,-0.09,-0.948,1,0.952262568832777
1962-05-26,0.92,-0.268,7,0.958240053431289
1962-05-27,0.86,-0.724,7,1.12417792186113
1962-05-28,0.738,-1.138,8,1.35635098702364
1962-05-29,0.578,-1.292,8,1.41539676416191
1962-05-30,0.408,-1.446,8,1.50245798610144
1962-05-31,0.206,-1.706,8,1.71839227186344
1962-06-01,-0.016,-1.606,1,1.60607969914323
1962-06-02,-0.196,-1.25,1,1.26527309305146
1962-06-03,-0.34,-1.07,1,1.12271991164315
1963-04-02,-0.936,-0.934,2,1.32229043708256
1963-04-03,-1.04,-0.742,2,1.27756174019106
1963-04-04,-1.122,-0.542,2,1.24605296837655
1963-04-05,-1.172,-0.166,2,1.18369759651695
1963-06-04,0.558,-0.808,8,0.981951118946356
1963-06-05,0.436,-1.05,8,1.13692392005798
1963-06-06,0.294,-1.164,8,1.20055487171557
1963-06-07,0.138,-1.302,8,1.30929293895598
1963-06-08,-0.04,-1.49,1,1.49053681604984
1963-06-09,-0.236,-1.498,1,1.51647617851386
1963-06-10,-0.414,-1.304,1,1.36814180551579
1963-06-11,-0.568,-1.104,1,1.24154742156713
1963-06-12,-0.696,-0.906,1,1.142476257959
1963-06-13,-0.794,-0.572,2,0.97858060475364
1964-03-28,-0.988,-0.746,2,1.23800646201868
1964-03-29,-1.048,-0.158,2,1.05984338465643
1964-04-05,-1.646,-1.428,2,2.17910532099759
1964-04-06,-1.81,-1.148,2,2.14336277843953
1964-04-07,-1.938,-0.8,2,2.0966268146716
1964-04-08,-2.016,-0.426,2,2.06051741074906
1964-04-09,-2.054,-0.23,2,2.06683719726543
1964-04-10,-2.08,-0.19,2,2.08865985742054
1964-04-11,-2.104,-0.152,2,2.10948334906915
1964-04-12,-2.116,-0.016,2,2.11606049062875
1964-05-08,-0.888,-0.502,2,1.02007254643971
1964-06-04,0.386,-0.976,8,1.04955800220855
1964-06-05,0.244,-1.224,8,1.24808333055129
1964-06-06,0.08,-1.326,8,1.32841108095348
1964-06-07,-0.092,-1.428,1,1.43096051657619
1964-06-08,-0.284,-1.57,1,1.59547986511896
1964-06-09,-0.488,-1.6,1,1.67276537506011
1964-06-10,-0.684,-1.382,1,1.54200518805872
1964-06-11,-0.836,-0.972,1,1.28206084099001
1964-06-12,-0.936,-0.626,2,1.12604262796752
1964-06-13,-0.998,-0.344,2,1.05562303877852
1965-04-06,-1.416,-1.07,2,1.77481153929086
1965-04-07,-1.516,-0.54,2,1.60930295469809
1965-04-08,-1.564,-0.326,2,1.59761447164202
1965-04-09,-1.606,-0.354,2,1.64455221869055
1965-04-10,-1.652,-0.306,2,1.6801011874289
1965-04-11,-1.686,-0.302,2,1.71283390905248
1965-04-12,-1.732,-0.452,2,1.79000782121196
1965-04-13,-1.794,-0.412,2,1.84070095344138
1965-04-14,-1.83,-0.148,2,1.83597494536282
1965-06-03,-0.82,-0.67,2,1.0589145385724
1965-06-04,-0.888,-0.454,2,0.997326426001036
1965-06-25,-1.022,-0.956,2,1.39943560051901
1965-06-26,-1.124,-0.624,2,1.28559402612178
1965-06-27,-1.18,-0.274,2,1.21139423805795
1965-06-28,-1.2,-0.136,2,1.2076820773697
1965-06-29,-1.22,-0.13,2,1.22690667941779
1965-06-30,-1.238,-0.172,2,1.24989119526461
1966-03-01,-1.576,-0.982,2,1.85690602885553
1966-03-02,-1.692,-0.768,2,1.85814100649009
1966-03-03,-1.768,-0.494,2,1.8357178432428
1966-03-04,-1.812,-0.104,2,1.81498209357558
1966-05-09,0.752,-0.68,7,1.01385600555503
